id, X, Y, Z, val

CE1_311, 76.90507408, 8.54482186, 1, Faculty Room
CE1_312, 76.90510506, 8.54484654, 1, Faculty Room
CE1_313, 76.90512849, 8.54486352, 1, Faculty Room
CE1_310, 76.90508809, 8.54480606, 1, Faculty Room
CE1_309, 76.90511631, 8.54482680, 1, Faculty Room
CE1_308, 76.90514292, 8.54484501, 1, Faculty Room
CE1_307, 76.90516435, 8.54486166, 1, Faculty Room
CE1_306, 76.90520596, 8.54489150, 1, Documentation Room
CE1_GT1, 76.90521201, 8.54489728, 1, Gents Toilet
CE1_305, 76.90511830, 8.54496308, 1, Lecture Hall S3/S4 C1
CE1_304, 76.90506505, 8.54503448, 1, Lecture Hall M1/M2 SE
CE1_303, 76.90505437, 8.54504090, 1, Lecture Hall S3/S4 C2
CE1_302, 76.90497700, 8.54498998, 1, Project Room
CE1_301, 76.90495588, 8.54494066, 1, Seminar Hall 2
